pair_address,token_address,estrato,sync_count,mint_count,burn_count,transfer_count,token0_decimals,token1_decimals,first_block,last_block,lifespan_blocks,active_days,last_event_type,terminal_burn_flag,transfers_count,unique_senders,unique_recipients,total_value,top3_n,concentration_top3,burn_ratio
0x86612ead4493c1f72bff66a686a481a379832ca5,0xe1240ac7bb51333510cbf37efd678ca46137f84b,alto,1832,249,138,928,18,18,11113799.0,12714271.0,1600472.0,246.52166666666668,sync,0.0,3224.0,354.0,412.0,5.151342709632685e+24,1349.0,0.418424317617866,0.552
0x3127bbbc05f343192855ea40b54a34831ce72e04,0x4d75d9e37667a2d4677ec3d74bdd9049326ad8d6,alto,6046,29,20,115,18,18,12062517.0,13215609.0,1153092.0,178.74224537037037,sync,0.0,7004.0,1305.0,1620.0,7.505930452647367e+24,3262.0,0.4657338663620788,0.6666666666666666
0xde8f1524809971c4a9a7906f234b807a86fcdfcb,0xb29c509b7626ddef4be9a5abc1fe4e54de00a4a2,alto,296,1,1,4,18,18,12583426.0,12583478.0,52.0,0.008981481481481481,burn,1.0,310.0,65.0,213.0,6.205112436586953e+26,71.0,0.22903225806451613,0.5
0xcd6bcca48069f8588780dfa274960f15685aee0e,0x88acdd2a6425c3faae4bc9650fd7e27e0bebb7ab,alto,82954,9964,2428,31129,18,18,11881207.0,13220475.0,1339268.0,207.42581018518518,sync,0.0,104660.0,14650.0,21641.0,2.108235372188825e+25,40178.0,0.38389069367475637,0.24365278474661314
0xc0342b8f697101e7e2a8a06e55c7747b4096dbbf,0x988d9cae135eedf5b2a00c5803aa688bedd02253,alto,490,1,1,7,18,18,13090948.0,13108785.0,17837.0,2.7628125,burn,1.0,501.0,95.0,129.0,4.650093633949994e+25,279.0,0.5568862275449101,0.5
0x1ab24a692eff49b9712ceacdef853152d78b9050,0xbc81bf5b3173bccdbe62dba5f5b695522ad63559,alto,6122,22,10,45,18,18,11623405.0,13055934.0,1432529.0,221.6007175925926,sync,0.0,7282.0,1797.0,2016.0,2.7121121180025666e+25,3116.0,0.4279044218621258,0.43478260869565216
0x634ce8ea4d402df4adc671d525027c4a0fd75977,0xded925e8563c03d77d18b7a223aeda577c65f0fc,alto,163,5,3,17,18,18,10815472.0,11086187.0,270715.0,41.81980324074074,sync,0.0,357.0,40.0,42.0,30191236753544.0,181.0,0.5070028011204482,0.5
0x7f0ddb40ac650dff6c43d8fed2f2c217aad0f577,0x66df04d40a2d35b491ff30c9df0c7907552ae3e9,alto,221,1,0,4,18,18,12596276.0,12612766.0,16490.0,2.552962962962963,sync,0.0,224.0,3.0,202.0,1.15867519969987e+31,9.0,0.04017857142857143,0.0
0x2fe5f1728abd3bc788ff04ead81c918e2c15bded,0xaf2cfa3d6369cd6675ed5a516dadf99f032f25cd,alto,550,26,1,31,18,18,11615773.0,12843932.0,1228159.0,189.690625,sync,0.0,1018.0,117.0,156.0,6635400520931421.0,716.0,0.7033398821218074,0.037037037037037035
0x189cdb9612d8f37a9fc9c63d35acebf6c7b31d24,0x23996b50edc117c51c3c7176cfcb603c346e992e,alto,222,6,5,17,18,18,10309418.0,11604151.0,1294733.0,199.428125,sync,0.0,288.0,62.0,73.0,6.075323444405907e+25,148.0,0.5138888888888888,0.7142857142857143
0x44db937d83f2e480aac453f851caf373b607054d,0x4cd647a09a7198fab0e6e85442732479e3be7ab9,alto,558,1,1,6,18,18,12300463.0,13186616.0,886153.0,137.61011574074075,sync,0.0,578.0,167.0,229.0,2.481131882233726e+23,264.0,0.45674740484429066,0.5
0xc6be4e275877c4e6b724d81b0b30aa2b0096fefd,0xa769b3603cdcf23729ebafeb834d28d273c110cd,alto,177,1,0,4,18,18,11121795.0,11900839.0,779044.0,119.67815972222222,sync,0.0,427.0,81.0,83.0,2.188049992449136e+20,322.0,0.7540983606557377,0.0
0xcd83d2e2315e8031e296f87d148ebf8984d28986,0xa8d0f2cd10ee81378872ab0d22d42be986881d90,alto,335,11,7,43,18,18,10971087.0,12807879.0,1836792.0,283.14042824074073,sync,0.0,604.0,133.0,301.0,3.183923577385472e+21,215.0,0.35596026490066224,0.5833333333333334
0x3b372fea00dffbb1f25565cedb367212de253e82,0x42c91e627a58e35e3e9b4161a3a6c378220c4391,alto,289,1,1,6,18,18,13103291.0,13210855.0,107564.0,16.636481481481482,sync,0.0,285.0,43.0,76.0,4.302736867138462e+26,143.0,0.5017543859649123,0.5
0x086bbd1e4cc818de52ee57198120ccf270b3bb22,0x2394bff6fc12a206330517ae7240c39fb087e7c6,alto,295,1,2,12,18,18,12634324.0,12832073.0,197749.0,30.81545138888889,burn,1.0,305.0,127.0,143.0,1.271176431457161e+30,143.0,0.46885245901639344,1.0
0xc9b7c3ba45ee5c3c2c8629b157c0e814c36d9b46,0x7930d45a9ed754396da3a0c864f951ae84ceaa35,alto,3664,5,1,9,18,18,12634880.0,12989042.0,354162.0,55.35270833333333,sync,0.0,7533.0,878.0,1265.0,3.566920706590053e+21,5558.0,0.7378202575335192,0.16666666666666666
0x9bd4a0bbda2f333a60c7fb6368cdd21d7a100dfb,0xcadb96858fe496bb6309622f9023ba2defb5d540,alto,1130,11,9,30,18,18,11195107.0,12605899.0,1410792.0,217.18599537037036,burn,1.0,381139.0,34295.0,69423.0,5.024486506358232e+28,80376.0,0.21088369335071983,0.75
0xdde4729b669df4880c257e9551ae1d83c36a80ec,0x0271b6b5bc3e3ab74afdc8ca39481220588b8afb,alto,505,6,1,9,18,18,12793302.0,12804766.0,11464.0,1.7814351851851853,burn,1.0,560.0,94.0,190.0,1.973361972067378e+26,290.0,0.5178571428571429,0.14285714285714285
0x9103f42cf44dde77473d9bd27d742988a5b3129e,0x0f5a5b5a2ba791dfe60b64b989ce3e3d69cbeccf,alto,190,1,0,4,18,18,11062107.0,13029014.0,1966907.0,303.623587962963,sync,0.0,227.0,85.0,95.0,5.257528602722764e+27,115.0,0.5066079295154186,0.0
0x3dcc45293513bc2a3cf905e34cfd77a2e26d5b88,0x33ce187c8dca7b4ddeea85e5f78761f3ca26567b,alto,113,1,1,4,18,18,12589107.0,12589135.0,28.0,0.004212962962962963,burn,1.0,116.0,14.0,65.0,2.7735061612342254e+23,31.0,0.2672413793103448,0.5
0xff40805f099e74716d72c4ad03a8a8713c8b1940,0xe5b0792400a47af372486704eda0f1799ee83f54,alto,3571,37,31,162,18,18,11158529.0,13132962.0,1974433.0,304.8877430555556,sync,0.0,3840.0,1122.0,1180.0,1.0683836446008068e+24,1820.0,0.4739583333333333,0.8157894736842105
